Region,Design capacity 2000/a,Design capacity 2005/a,Percent of design capacity occupied 2000,Percent of design capacity occupied 2005,Rated capacity 2000,Rated capacity 2005,Percent of rated capacity occupied 2000,Percent of rated capacity occupied 2005,Total_18,Male_18,Female_18,Total_19,Male_19,Female_19,Total number of facilities,Facilities operating one or more work programs,Inmates participating in one or more work programs,Prison industries,Support services,Farming ,Public works,Other work programs ,No work programs,phone_rate_avg,Latitude,Longitude
New Jersey,20861.00,18131.00,130.00,142.00,26979.00,26024.00,101.00,99.00,19362.00,18592.00,770.00,18613.00,17912.00,701.00,42.00,33.00,20823.00,13.00,23.00,8.00,16.00,15.00,3.00,1.73,40.16,-74.49
New Mexico,5905.00,6035.00,87.00,119.00,6071.00,7357.00,85.00,98.00,7030.00,6256.00,774.00,6723.00,6046.00,677.00,11.00,9.00,3131.00,6.00,8.00,0.00,5.00,1.00,0.00,0.79,34.50,-106
New York,55299.00,57705.00,130.00,111.00,69014.00,63458.00,104.00,101.00,46636.00,44544.00,2092.00,43500.00,41572.00,1928.00,77.00,72.00,30738.00,20.00,69.00,13.00,31.00,7.00,1.00,0.72,43.00,-75.49
North Carolina,31810.00,36832.00,97.00,104.00,33759.00,40084.00,91.00,95.00,34899.00,32171.00,2728.00,34079.00,31398.00,2681.00,88.00,82.00,20502.00,21.00,77.00,4.00,56.00,13.00,1.00,2.45,35.50,-80
North Dakota,390.00,1455.00,254.00,97.00,907.00,1455.00,109.00,97.00,1695.00,1499.00,196.00,1794.00,1585.00,209.00,8.00,6.00,796.00,4.00,5.00,0.00,0.00,1.00,2.00,4.85,47.50,-100
Ohio,30506.00,30506.00,157.00,0.00,40707.00,36561.00,118.00,122.00,50431.00,46153.00,4278.00,50338.00,46072.00,4266.00,59.00,44.00,34510.00,17.00,36.00,9.00,22.00,18.00,10.00,2.03,40.25,-83
Oklahoma,22656.00,23399.00,105.00,107.00,25062.00,26163.00,95.00,96.00,26956.00,23860.00,3096.00,25679.00,23009.00,2670.00,53.00,52.00,18201.00,13.00,42.00,14.00,35.00,10.00,1.00,3.00,35.50,-97.5
Oregon,10193.00,12302.00,97.00,106.00,11381.00,13562.00,87.00,96.00,15268.00,14022.00,1246.00,14961.00,13740.00,1221.00,15.00,14.00,4954.00,7.00,13.00,3.00,10.00,2.00,1.00,2.40,44.00,-120.5
Pennsylvania,26357.00,38518.00,140.00,112.00,26402.00,40098.00,140.00,108.00,47239.00,44305.00,2934.00,45702.00,42886.00,2816.00,52.00,26.00,26476.00,19.00,26.00,0.00,26.00,0.00,16.00,2.23,40.86,-77.9
Rhode Island,3857.00,4054.00,87.00,84.00,3719.00,3861.00,90.00,88.00,2767.00,2613.00,154.00,2740.00,2583.00,157.00,7.00,7.00,1663.00,3.00,7.00,0.00,2.00,2.00,0.00,0.70,41.50,-71.4757
South Carolina,19385.00,23163.00,110.00,97.00,23327.00,23310.00,91.00,97.00,19033.00,17706.00,1327.00,18608.00,17327.00,1281.00,33.00,29.00,17053.00,16.00,29.00,6.00,20.00,6.00,0.00,1.28,34.00,-81
South Dakota,2372.00,2605.00,109.00,132.00,2633.00,3653.00,98.00,94.00,3948.00,3377.00,571.00,3801.00,3239.00,562.00,6.00,3.00,831.00,3.00,3.00,0.00,3.00,0.00,1.00,2.18,44.50,-100.25
Tennessee,18724.00,17930.00,98.00,109.00,19120.00,20168.00,96.00,97.00,26321.00,23642.00,2679.00,26349.00,23615.00,2734.00,19.00,17.00,14287.00,8.00,14.00,4.00,12.00,7.00,1.00,3.00,35.75,-86.25
Texas,169773.00,170232.00,96.00,96.00,170328.00,171362.00,95.00,95.00,163628.00,149193.00,14435.00,158429.00,144787.00,13642.00,132.00,119.00,123419.00,34.00,114.00,51.00,89.00,4.00,6.00,3.90,31.25,-99.25
Utah,4463.00,5382.00,109.00,101.00,5283.00,5513.00,92.00,99.00,6651.00,6076.00,575.00,6665.00,6083.00,582.00,7.00,5.00,595.00,2.00,5.00,1.00,2.00,2.00,1.00,3.64,39.25,-111.75
Vermont,1234.00,1617.00,106.00,99.00,1345.00,1665.00,97.00,96.00,1659.00,1519.00,140.00,1608.00,1484.00,124.00,9.00,9.00,513.00,3.00,8.00,2.00,1.00,2.00,0.00,2.42,44.16,-72.7678
Virginia,14792.00,14792.00,212.00,0.00,32759.00,32469.00,96.00,97.00,36660.00,33620.00,3040.00,36091.00,33090.00,3001.00,59.00,58.00,21089.00,20.00,53.00,29.00,28.00,13.00,0.00,1.97,37.77,-78.24
Washington,13165.00,14731.00,112.00,110.00,9947.00,12293.00,148.00,131.00,19523.00,17803.00,1720.00,19261.00,17626.00,1635.00,32.00,29.00,6375.00,9.00,15.00,5.00,10.00,23.00,3.00,2.46,47.50,-120.5
West Virginia,3193.00,2976.00,96.00,132.00,3098.00,4047.00,99.00,97.00,6775.00,5989.00,786.00,6800.00,5979.00,821.00,15.00,11.00,2074.00,6.00,11.00,4.00,8.00,1.00,1.00,1.32,38.63,-80.73
Wisconsin,11774.00,16324.00,132.00,136.00,14417.00,20380.00,108.00,109.00,24064.00,22473.00,1591.00,23956.00,22405.00,1551.00,41.00,39.00,8980.00,17.00,38.00,8.00,18.00,14.00,1.00,1.80,44.50,-90
Wyoming,2795.00,1736.00,78.00,82.00,2914.00,1772.00,75.00,80.00,2543.00,2207.00,336.00,2479.00,2142.00,337.00,7.00,7.00,1001.00,0.00,5.00,2.00,3.00,4.00,0.00,3.20,43.00,-107.5
