"","Facility","Name","State","Date","Residents.Confirmed","Staff.Confirmed","Resident.Deaths","Staff.Deaths","Residents.Recovered","Staff.Recovered","Residents.Tested","Staff.Tested","Residents.Pending","Staff.Pending","Residents.Negative","Staff.Negative","Residents.Quarantine","Staff.Quarantine","hifld_id","Count.ID","Resident.Population","Population_HIFLD","Population.Source"
"11","Prison","COAL TOWNSHIP","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003064,1003,NA,2320,"State COVID Dashboard/HIFLD Prison Dataset"
"12","Prison","DALLAS","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000718,1004,NA,2155,"State COVID Dashboard/HIFLD Prison Dataset"
"13","Prison","FAYETTE","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003109,1005,NA,2195,"State COVID Dashboard/HIFLD Prison Dataset"
"14","Prison","FOREST","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003052,1006,NA,2392,"State COVID Dashboard/HIFLD Prison Dataset"
"15","Prison","FRACKVILLE","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003074,1007,NA,1229,"State COVID Dashboard/HIFLD Prison Dataset"
"16","Prison","GREENE","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003121,1008,NA,1695,"State COVID Dashboard/HIFLD Prison Dataset"
"17","Prison","HOUTZDALE","Pennsylvania",2020-04-04,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000721,1009,NA,2568,"State COVID Dashboard/HIFLD Prison Dataset"
"18","Prison","HUNTINGDON","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000728,1010,NA,2208,"State COVID Dashboard/HIFLD Prison Dataset"
"19","Prison","LAUREL HIGHLANDS","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003107,1011,NA,1576,"State COVID Dashboard/HIFLD Prison Dataset"
"20","Prison","MAHANOY","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003073,1012,NA,2363,"State COVID Dashboard/HIFLD Prison Dataset"
"21","Prison","MERCER","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003056,1013,NA,1480,"State COVID Dashboard/HIFLD Prison Dataset"
"22","Prison","MUNCY","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003054,1014,NA,1381,"State COVID Dashboard/HIFLD Prison Dataset"
"23","Prison","PHOENIX","Pennsylvania",2020-04-04,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"24","Prison","PINE GROVE","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003077,1017,NA,1148,"State COVID Dashboard/HIFLD Prison Dataset"
"25","Prison","QUEHANNA BOOT CAMP","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001489,1018,NA,457,"State COVID Dashboard/HIFLD Prison Dataset"
"26","Prison","RETREAT","Pennsylvania",2020-04-04,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000719,1019,NA,1123,"State COVID Dashboard/HIFLD Prison Dataset"
"27","Prison","ROCKVIEW","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003062,1020,NA,2416,"State COVID Dashboard/HIFLD Prison Dataset"
"28","Prison","SMITHFIELD","Pennsylvania",2020-04-04,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003082,1021,NA,1346,"State COVID Dashboard/HIFLD Prison Dataset"
"29","Prison","SOMERSET","Pennsylvania",2020-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000737,1022,NA,2394,"State COVID Dashboard/HIFLD Prison Dataset"
"30","Prison","WAYMART","Pennsylvania",2020-04-04,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003047,1024,NA,1554,"State COVID Dashboard/HIFLD Prison Dataset"
"31","Prison","CENTRAL OFFICE","Pennsylvania",2020-04-05,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"32","Prison","ALBION","Pennsylvania",2020-04-05,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000709,997,NA,2287,"State COVID Dashboard/HIFLD Prison Dataset"
"33","Prison","BENNER TOWNSHIP","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10006363,998,NA,2111,"State COVID Dashboard/HIFLD Prison Dataset"
"34","Prison","CAMBRIDGE SPRINGS","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003048,999,NA,1211,"State COVID Dashboard/HIFLD Prison Dataset"
"35","Prison","CAMP HILL","Pennsylvania",2020-04-05,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000733,1000,NA,3484,"State COVID Dashboard/HIFLD Prison Dataset"
"36","Prison","CHESTER","Pennsylvania",2020-04-05,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003117,1002,NA,1271,"State COVID Dashboard/HIFLD Prison Dataset"
"37","Prison","COAL TOWNSHIP","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003064,1003,NA,2320,"State COVID Dashboard/HIFLD Prison Dataset"
"38","Prison","DALLAS","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000718,1004,NA,2155,"State COVID Dashboard/HIFLD Prison Dataset"
"39","Prison","FAYETTE","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003109,1005,NA,2195,"State COVID Dashboard/HIFLD Prison Dataset"
"40","Prison","FOREST","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003052,1006,NA,2392,"State COVID Dashboard/HIFLD Prison Dataset"
"41","Prison","FRACKVILLE","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003074,1007,NA,1229,"State COVID Dashboard/HIFLD Prison Dataset"
"42","Prison","GREENE","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003121,1008,NA,1695,"State COVID Dashboard/HIFLD Prison Dataset"
"43","Prison","HOUTZDALE","Pennsylvania",2020-04-05,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000721,1009,NA,2568,"State COVID Dashboard/HIFLD Prison Dataset"
"44","Prison","HUNTINGDON","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000728,1010,NA,2208,"State COVID Dashboard/HIFLD Prison Dataset"
"45","Prison","LAUREL HIGHLANDS","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003107,1011,NA,1576,"State COVID Dashboard/HIFLD Prison Dataset"
"46","Prison","MAHANOY","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003073,1012,NA,2363,"State COVID Dashboard/HIFLD Prison Dataset"
"47","Prison","MERCER","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003056,1013,NA,1480,"State COVID Dashboard/HIFLD Prison Dataset"
"48","Prison","MUNCY","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003054,1014,NA,1381,"State COVID Dashboard/HIFLD Prison Dataset"
"49","Prison","PHOENIX","Pennsylvania",2020-04-05,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"50","Prison","PINE GROVE","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003077,1017,NA,1148,"State COVID Dashboard/HIFLD Prison Dataset"
"51","Prison","QUEHANNA BOOT CAMP","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001489,1018,NA,457,"State COVID Dashboard/HIFLD Prison Dataset"
"52","Prison","RETREAT","Pennsylvania",2020-04-05,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000719,1019,NA,1123,"State COVID Dashboard/HIFLD Prison Dataset"
"53","Prison","ROCKVIEW","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003062,1020,NA,2416,"State COVID Dashboard/HIFLD Prison Dataset"
"54","Prison","SMITHFIELD","Pennsylvania",2020-04-05,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003082,1021,NA,1346,"State COVID Dashboard/HIFLD Prison Dataset"
"55","Prison","SOMERSET","Pennsylvania",2020-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000737,1022,NA,2394,"State COVID Dashboard/HIFLD Prison Dataset"
"56","Prison","WAYMART","Pennsylvania",2020-04-05,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003047,1024,NA,1554,"State COVID Dashboard/HIFLD Prison Dataset"
"57","Prison","CENTRAL OFFICE","Pennsylvania",2020-04-06,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"58","Prison","ALBION","Pennsylvania",2020-04-06,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000709,997,NA,2287,"State COVID Dashboard/HIFLD Prison Dataset"
"59","Prison","BENNER TOWNSHIP","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10006363,998,NA,2111,"State COVID Dashboard/HIFLD Prison Dataset"
"60","Prison","CAMBRIDGE SPRINGS","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003048,999,NA,1211,"State COVID Dashboard/HIFLD Prison Dataset"
"61","Prison","CAMP HILL","Pennsylvania",2020-04-06,"0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000733,1000,NA,3484,"State COVID Dashboard/HIFLD Prison Dataset"
"62","Prison","CHESTER","Pennsylvania",2020-04-06,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003117,1002,NA,1271,"State COVID Dashboard/HIFLD Prison Dataset"
"63","Prison","COAL TOWNSHIP","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003064,1003,NA,2320,"State COVID Dashboard/HIFLD Prison Dataset"
"64","Prison","DALLAS","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000718,1004,NA,2155,"State COVID Dashboard/HIFLD Prison Dataset"
"65","Prison","FAYETTE","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003109,1005,NA,2195,"State COVID Dashboard/HIFLD Prison Dataset"
"66","Prison","FOREST","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003052,1006,NA,2392,"State COVID Dashboard/HIFLD Prison Dataset"
"67","Prison","FRACKVILLE","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003074,1007,NA,1229,"State COVID Dashboard/HIFLD Prison Dataset"
"68","Prison","GREENE","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003121,1008,NA,1695,"State COVID Dashboard/HIFLD Prison Dataset"
"69","Prison","HOUTZDALE","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000721,1009,NA,2568,"State COVID Dashboard/HIFLD Prison Dataset"
"70","Prison","HUNTINGDON","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000728,1010,NA,2208,"State COVID Dashboard/HIFLD Prison Dataset"
"71","Prison","LAUREL HIGHLANDS","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003107,1011,NA,1576,"State COVID Dashboard/HIFLD Prison Dataset"
"72","Prison","MAHANOY","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003073,1012,NA,2363,"State COVID Dashboard/HIFLD Prison Dataset"
"73","Prison","MERCER","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003056,1013,NA,1480,"State COVID Dashboard/HIFLD Prison Dataset"
"74","Prison","MUNCY","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003054,1014,NA,1381,"State COVID Dashboard/HIFLD Prison Dataset"
"75","Prison","PHOENIX","Pennsylvania",2020-04-06,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"76","Prison","PINE GROVE","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003077,1017,NA,1148,"State COVID Dashboard/HIFLD Prison Dataset"
"77","Prison","QUEHANNA BOOT CAMP","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001489,1018,NA,457,"State COVID Dashboard/HIFLD Prison Dataset"
"78","Prison","RETREAT","Pennsylvania",2020-04-06,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000719,1019,NA,1123,"State COVID Dashboard/HIFLD Prison Dataset"
"79","Prison","ROCKVIEW","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003062,1020,NA,2416,"State COVID Dashboard/HIFLD Prison Dataset"
"80","Prison","SMITHFIELD","Pennsylvania",2020-04-06,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003082,1021,NA,1346,"State COVID Dashboard/HIFLD Prison Dataset"
"81","Prison","SOMERSET","Pennsylvania",2020-04-06,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000737,1022,NA,2394,"State COVID Dashboard/HIFLD Prison Dataset"
"82","Prison","WAYMART","Pennsylvania",2020-04-06,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003047,1024,NA,1554,"State COVID Dashboard/HIFLD Prison Dataset"
"83","Prison","CENTRAL OFFICE","Pennsylvania",2020-04-07,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"84","Prison","ALBION","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000709,997,NA,2287,"State COVID Dashboard/HIFLD Prison Dataset"
"85","Prison","BENNER TOWNSHIP","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10006363,998,NA,2111,"State COVID Dashboard/HIFLD Prison Dataset"
"86","Prison","CAMBRIDGE SPRINGS","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003048,999,NA,1211,"State COVID Dashboard/HIFLD Prison Dataset"
"87","Prison","CAMP HILL","Pennsylvania",2020-04-07,"0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000733,1000,NA,3484,"State COVID Dashboard/HIFLD Prison Dataset"
"88","Prison","CHESTER","Pennsylvania",2020-04-07,"0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003117,1002,NA,1271,"State COVID Dashboard/HIFLD Prison Dataset"
"89","Prison","COAL TOWNSHIP","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003064,1003,NA,2320,"State COVID Dashboard/HIFLD Prison Dataset"
"90","Prison","DALLAS","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000718,1004,NA,2155,"State COVID Dashboard/HIFLD Prison Dataset"
"91","Prison","FAYETTE","Pennsylvania",2020-04-07,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003109,1005,NA,2195,"State COVID Dashboard/HIFLD Prison Dataset"
"92","Prison","FOREST","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003052,1006,NA,2392,"State COVID Dashboard/HIFLD Prison Dataset"
"93","Prison","FRACKVILLE","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003074,1007,NA,1229,"State COVID Dashboard/HIFLD Prison Dataset"
"94","Prison","GREENE","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003121,1008,NA,1695,"State COVID Dashboard/HIFLD Prison Dataset"
"95","Prison","HOUTZDALE","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000721,1009,NA,2568,"State COVID Dashboard/HIFLD Prison Dataset"
"96","Prison","HUNTINGDON","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000728,1010,NA,2208,"State COVID Dashboard/HIFLD Prison Dataset"
"97","Prison","LAUREL HIGHLANDS","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003107,1011,NA,1576,"State COVID Dashboard/HIFLD Prison Dataset"
"98","Prison","MAHANOY","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003073,1012,NA,2363,"State COVID Dashboard/HIFLD Prison Dataset"
"99","Prison","MERCER","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003056,1013,NA,1480,"State COVID Dashboard/HIFLD Prison Dataset"
"100","Prison","MUNCY","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003054,1014,NA,1381,"State COVID Dashboard/HIFLD Prison Dataset"
"101","Prison","PHOENIX","Pennsylvania",2020-04-07,"5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"102","Prison","PINE GROVE","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003077,1017,NA,1148,"State COVID Dashboard/HIFLD Prison Dataset"
"103","Prison","QUEHANNA BOOT CAMP","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001489,1018,NA,457,"State COVID Dashboard/HIFLD Prison Dataset"
"104","Prison","RETREAT","Pennsylvania",2020-04-07,"0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000719,1019,NA,1123,"State COVID Dashboard/HIFLD Prison Dataset"
"105","Prison","ROCKVIEW","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003062,1020,NA,2416,"State COVID Dashboard/HIFLD Prison Dataset"
"106","Prison","SMITHFIELD","Pennsylvania",2020-04-07,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003082,1021,NA,1346,"State COVID Dashboard/HIFLD Prison Dataset"
"107","Prison","SOMERSET","Pennsylvania",2020-04-07,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000737,1022,NA,2394,"State COVID Dashboard/HIFLD Prison Dataset"
"108","Prison","WAYMART","Pennsylvania",2020-04-07,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003047,1024,NA,1554,"State COVID Dashboard/HIFLD Prison Dataset"
"109","Prison","CENTRAL OFFICE","Pennsylvania",2020-04-08,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001,NA,NA,"State COVID Dashboard/HIFLD Prison Dataset"
"110","Prison","ALBION","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000709,997,NA,2287,"State COVID Dashboard/HIFLD Prison Dataset"
"111","Prison","BENNER TOWNSHIP","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10006363,998,NA,2111,"State COVID Dashboard/HIFLD Prison Dataset"
"112","Prison","CAMBRIDGE SPRINGS","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003048,999,NA,1211,"State COVID Dashboard/HIFLD Prison Dataset"
"113","Prison","CAMP HILL","Pennsylvania",2020-04-08,"0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000733,1000,NA,3484,"State COVID Dashboard/HIFLD Prison Dataset"
"114","Prison","CHESTER","Pennsylvania",2020-04-08,"0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003117,1002,NA,1271,"State COVID Dashboard/HIFLD Prison Dataset"
"115","Prison","COAL TOWNSHIP","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003064,1003,NA,2320,"State COVID Dashboard/HIFLD Prison Dataset"
"116","Prison","DALLAS","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000718,1004,NA,2155,"State COVID Dashboard/HIFLD Prison Dataset"
"117","Prison","FAYETTE","Pennsylvania",2020-04-08,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003109,1005,NA,2195,"State COVID Dashboard/HIFLD Prison Dataset"
"118","Prison","FOREST","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003052,1006,NA,2392,"State COVID Dashboard/HIFLD Prison Dataset"
"119","Prison","FRACKVILLE","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003074,1007,NA,1229,"State COVID Dashboard/HIFLD Prison Dataset"
"120","Prison","GREENE","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003121,1008,NA,1695,"State COVID Dashboard/HIFLD Prison Dataset"
"121","Prison","HOUTZDALE","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000721,1009,NA,2568,"State COVID Dashboard/HIFLD Prison Dataset"
"122","Prison","HUNTINGDON","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000728,1010,NA,2208,"State COVID Dashboard/HIFLD Prison Dataset"
"123","Prison","LAUREL HIGHLANDS","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003107,1011,NA,1576,"State COVID Dashboard/HIFLD Prison Dataset"
"124","Prison","MAHANOY","Pennsylvania",2020-04-08,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003073,1012,NA,2363,"State COVID Dashboard/HIFLD Prison Dataset"
