Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: csfcf05at04.csv,,,,,,,,,,,,,
"Appendix table 4. Design and rated capacities of correctional faclities under state or federal authority, June 30, 2000, and December 30, 2005",,,,,,,,,,,,,
"Report title:  Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,,,,,,,,
"Data sources: BJS, Census of State and Federal Correctional Facilities, 2000 and 2005",,,,,,,,,,,,,
Author:  James J. Stephan,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,,,,,
Date of version:  09/30/08,,,,,,,,,,,,,

"Appendix table 4. Design and rated capacities of correctional facilities under state or federal authority, June 30, 2000, and December 30, 2005",,,,,,,,,,,,,

,,Design capacity,,Percent of design capacity occupied ,,,,Rated capacity ,,Percent of rated capacity occupied,,,
,Delaware,"4,567","5,419",132,,125,,"5,716","6,845",105,,99,
,District of Columbia/f,"4,104",503,92,,60,,"4,138",503,91,,60,
,Florida,"56,402","87,861",127,,99,,"75,619","67,915",95,,128,
,Georgia,"44,289","51,380",100,,101,,"45,552","53,162",97,,97,
,Kentucky,"11,349","14,255",109,,105,,"13,010","15,451",95,,97,
,Louisiana,"18,792","19,395",102,,105,,"19,704","19,415",97,,105,
,Maryland,"17,517","16,063",130,,141,,"24,466","24,265",93,,93,
,Mississippi,"17,690","18,222",84,,93,,"17,238","18,229",86,,93,
,North Carolina,"31,810","36,832",97,,104,,"33,759","40,084",91,,95,
,Oklahoma,"22,656","23,399",105,,107,,"25,062","26,163",95,,96,
,South Carolina,"19,385","23,163",110,,97,,"23,327","23,310",91,,97,
,Tennessee,"18,724","17,930",98,,109,,"19,120","20,168",96,,97,
,Texas,"169,773","170,232",96,,96,,"170,328","171,362",95,,95,
,Virginia,"14,792",...,212,,0,,"32,759","32,469",96,,97,
,West Virginia,"3,193","2,976",96,,132,,"3,098","4,047",99,,97,
West,,"202,671","210,218",133,%,141,%,"274,761","246,553",98,%,120,%
,Alaska,"3,490","3,101",93,,134,,"3,622","4,129",90,,100,
,Arizona,"30,426","30,591",101,,107,,"29,482","34,013",105,,97,
,California,"97,740","95,562",167,,178,,"167,367","120,625",98,,141,
,Colorado,"16,543","19,388",95,,107,,"17,882","22,451",88,,93
,Hawaii,"2,535","2,625",148,,151,,"3,460","3,581",109,,110
,Idaho,"4,431","5,351",89,,112,,"5,233","5,948",76,,100
,Montana,"1,930","2,332",123,,136,,"2,436","3,118",97,,101
,Nevada,"9,055","11,082",103,,106,,"9,683","12,191",96,,96
,New Mexico,"5,905","6,035",87,,119,,"6,071","7,357",85,,98
,Oregon,"10,193","12,302",97,,106,,"11,381","13,562",87,,96
,Utah,"4,463","5,382",109,,101,,"5,283","5,513",92,,99
,Washington,"13,165","14,731",112,,110,,"9,947","12,293",148,,131
,Wyoming,"2,795","1,736",78,,82,,"2,914","1,772",75,,80
Note:  See Methodology for definition of design and rated capacities.,,,,,,,,,,,,
… Not available.,,,,,,,,,,,,
: Not calculated.,,,,,,,,,,,,
"a/Design capacity data was not available for federal facilities in 2000 and 2005, or for public facilities in Connecticut, Illinois, Michigan, Ohio and Virginia in 2005. Summary statistics on design capacity were not available for public vs. private or for federal vs. state facilities in 2005 because federal private design capacity data could not be separated from state private data.  ",,,,,,,,,,,,
b/Includes facilities operated by both federal and state authorities.,,,,,,,,,,,,
c/Includes private facilities.,,,,,,,,,,,,
d/The total number of facilities in 2005 are as of June 30.
e/2005 population reported by the Illinois Department of Corrections as of June 30. Rated capacity is estimated based on data reported by facilities in 2000 that were in operation in 2005.
"f/As of December 30, 2001, sentenced felons from the District of Columbia were the reponsibility of the Federal Bureau of Prisons. Some inmates were housed in private facilities under contract to the District of Columbia on December 30, 2005."
