Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: csfcf05at10.csv,,,,,,,,,,,,,
"Appendix table 10. Number of inmates in correctional facilities under state or federal authority, by gender and type of facility, December 30, 2005",,,,,,,,,,,,,
"Report title: Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,,,,,,,,
"Data source: BJS, Census of State and Federal Correctional Facilities, 2005",,,,,,,,,,,,,
Author: James J. Stephan,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,,,,,
Date of version: 09/30/08,,,,,,,,,,,,,

"Appendix table 10. Number of inmates in correctional facilities under state or federal authority, by gender and type of facility, December 30, 2005",,,,,,,,,,,,,

,,All facilities,,,,Confinement facilities,,,,Community-based facilities,,,
,North Dakota,"1,411","1,196",143,72,"1,178","1,064",114,0,233,132,29,72
,Ohio,"44,717","39,165","3,470","2,082","42,816","37,667","3,190","1,959","1,901","1,498",280,123
,South Dakota,"3,451","3,041",336,74,"3,321","2,997",324,0,130,44,12,74
,Wisconsin,"22,181","19,268","1,375","1,538","20,840","18,266","1,048","1,526","1,341","1,002",327,12
South,,"561,927","517,213","39,599","5,115","533,833","493,213","36,837","3,783","28,094","24,000","2,762","1,332"
,Alabama,"23,174","21,871","1,178",125,"20,126","19,224",902,0,"3,048","2,647",276,125
,Arkansas,"13,921","12,849","1,072",0,"13,267","12,204","1,063",0,654,645,9,0
,Delaware,"6,781","6,212",488,81,"5,932","5,433",418,81,849,779,70,0
,District of Columbia/e,300,238,…,62,0,0,0,0,300,238,…,62
,Florida,"86,705","80,775","5,930",0,"83,126","77,715","5,411",0,"3,579","3,060",519,0
,Georgia,"51,822","47,668","3,568",586,"48,729","45,093","3,219",417,"3,093","2,575",349,169
,Kentucky,"14,932","13,508","1,424",0,"13,962","12,719","1,243",0,970,789,181,0
,Louisiana,"20,344","19,109","1,235",0,"19,828","18,666","1,162",0,516,443,73,0
,Maryland,"22,613","21,055","1,031",527,"21,846","20,431","1,031",384,767,624,0,143
,Mississippi,"16,967","15,330","1,591",46,"16,921","15,330","1,591",0,46,0,0,46
,North Carolina,"38,233","35,469","2,644",120,"36,998","34,422","2,576",0,"1,235","1,047",68,120
,Oklahoma,"25,149","22,785","2,364",0,"22,186","20,459","1,727",0,"2,963","2,326",637,0
,South Carolina,"22,537","20,945","1,497",95,"21,127","19,630","1,497",0,"1,410","1,315",0,95
,Tennessee,"19,484","16,189","1,176","2,119","19,247","16,115","1,162","1,970",237,74,14,149
,Texas,"163,556","151,594","11,673",289,"156,325","144,998","11,327",0,"7,231","6,596",346,289
,Virginia,"31,478","29,124","2,292",62,"30,544","28,439","2,105",0,934,685,187,62
,West Virginia,"3,931","2,492",436,"1,003","3,669","2,335",403,931,262,157,33,72
West,,"295,902","270,350","22,816","2,736","285,071","261,403","21,820","1,848","10,831","8,947",996,888
,Alaska,"4,146","2,456",376,"1,314","3,753","2,100",339,"1,314",393,356,37,0
,Arizona,"32,855","29,850","2,919",86,"32,596","29,699","2,897",0,259,151,22,86
,California,"169,988","158,603","11,367",18,"168,518","157,252","11,266",0,"1,470","1,351",101,18
,Colorado,"20,842","18,270","1,952",620,"18,236","16,589","1,647",0,"2,606","1,681",305,620
,Hawaii,"3,951","3,383",568,0,"3,837","3,329",508,0,114,54,60,0
,Idaho,"5,975","5,450",514,11,"5,609","5,193",416,0,366,257,98,11
,Montana,"3,160","2,743",417,0,"2,482","2,196",286,0,678,547,131,0
,Nevada,"11,726","10,772",939,15,"11,132","10,198",934,0,594,574,5,15
,New Mexico,"7,183","6,458",672,53,"6,733","6,072",661,0,450,386,11,53
,Oregon,"13,049","11,506","1,009",534,"11,119","9,596",989,534,"1,930","1,910",20,0
,Utah,"5,461","4,872",504,85,"5,057","4,610",447,0,404,262,57,85
,Washington,"16,146","14,712","1,434",0,"15,045","13,731","1,314",0,"1,101",981,120,0
,Wyoming,"1,420","1,275",145,0,954,838,116,0,466,437,29,0
… Not available.,,,,,,,,,,,,,
a/Includes facilities operated by both federal and state authorities.,,,,,,,,,,,,,
b/Includes private facilities.,,,,,,,,,,,,,
c/Excludes inmates with sentences greater than one year held in local jails and houses of correction.,,,,,,,,,,,,,
"d/Confinement and community-based figures are estimated based on total population reported by the Department of Corrections  as of June 30, 2005 and proportions of inmates housed in confinement and community-based facilities on June 30, 2000.",,,,,,,,,,,,,
"e/As of December 30, 2001, sentenced felons from the District of Columbia were the reponsibility of the Federal Bureau of Prisons. Some inmates were housed in private facilities under contract to the District of Columbia on December 30, 2005.",,,,,,,,,,,,,
