Bureau of Justice Statistics,,,,,,,,,,,
Filename: csfcf05at14.csv,,,,,,,,,,,
"Appendix table 14.  Number of inmates, employees, and inmate-to-staff ratios in correctional facilities under state or federal authority, June 30, 2000, and December 30, 2005",,,,,,,,,,,
"Report title:  Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,,,,,,
"Data source: Census of State and Federal Correctional Facilities, 2005",,,,,,,,,,,
Author:  James J. Stephan,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,,,
Date of version: 09/30/08,,,,,,,,,,,

"Appendix table 14.  Number of  inmates, employees, and inmate-to-staff ratios in correctional facilities under state or federal authority, June 30, 2000, and December 30, 2005",,,,,,,,,,,

,,,,Correctional facility employees,,,,,,,
,Colorado,"15,695","20,842","6,057","6,902","4,406","4,394",2.6,3,3.6,4.7
,Hawaii,"3,761","3,951","1,805","1,724","1,229","1,251",2.1,2.3,3.1,3.2
,Idaho,"3,961","5,975","1,290","1,473",795,971,3.1,4.1,5,6.2
,Montana,"2,368","3,160","1,086","1,211",583,700,2.2,2.6,4.1,4.5
,Nevada,"9,296","11,726","1,937","2,313","1,293","1,589",4.8,5.1,7.2,7.4
,New Mexico,"5,158","7,183","2,356","2,632","1,469","1,848",2.2,2.7,3.5,3.9
,Oregon,"9,933","13,049","3,262","3,739","1,993","2,318",3,3.5,5,5.6
,Utah,"4,872","5,461","1,576","1,380",893,"1,073",3.1,4,5.5,5.1
,Washington,"14,682","16,146","5,678","6,064","3,757","3,599",2.6,2.7,3.9,4.5
,Wyoming,"2,186","1,420",823,595,477,370,2.7,2.4,4.6,3.8
"Note: Includes all full-time, parttime, payroll, nonpayroll, and contract employees. Excludes community volunteers.",,,,,,,,,,,
"a/To estimate the total number of employees, the total number of facilities nationwide was divided by the number of facilities reporting employees and multiplied by the reported number of employees.",,,,,,,,,,,
b/Includes facilities operated by both federal and state authorities.,,,,,,,,,,,
c/Includes private facilities.,,,,,,,,,,,
d/The total number of facilities in 2005 are as of June 30.
"e/Includes public staff from the Illinois Department of Corrections, June 30, 2005 and private staff figures as reported in the BJS 2005 Census of State and Federal Correctional Facilities. Numbers of men and women are based on the proportionate weighting of the number of male and female employees in the 2000 Census."
"f/As of December 30, 2001, sentenced felons from the District of Columbia were the reponsibility of the Federal Bureau of Prisons. Some inmates were housed in private facilities under contract to the District of Columbia on December 30, 2005."
"g/Includes employees from the Califiornia Department of Corrections, 4th quarter 2005; and private employees as reported in the BJS 2005 Census of State and Federal Correctional Facilities. Numbers of men and women are based on the proportionate weighting of the number of male and female employees in the 2000 Census. "
