Bureau of Justice Statistics,,,,,,,,,
Filename: csfcf05at12.csv,,,,,,,,,
"Appendix table 12. All employees and correctional officers in correctional facilities under state or federal authority, by gender, December 30, 2005",,,,,,,,,
"Report title: Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,,,,
"Data source: Census of State and Federal Correctional Facilities, 2005",,,,,,,,,
Author:  James J. Stephan,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,
Date of version: 09/30/08,,,,,,,,,

"Appendix table 12. All employees and correctional officers in correctional facilities under state or federal authority, by gender, December 30, 2005",,,,,,,,,

,,,,Employees,,,Correctional officers ,,
,Tennessee,19,19,"6,279","3,969","2,310","4,205","2,960","1,245"
,Texas,132,132,"38,097","22,218","15,879","27,737","17,135","10,602"
,Virginia,59,57,"10,697","6,262","4,435","7,599","4,947","2,652"
,West Virginia,15,15,"1,747","1,158",589,925,759,166
West,,330,245,"85,488","57,473","28,015","53,331","41,555","11,776"
,Alaska,21,21,"1,339",959,380,896,713,183
,Arizona,21,21,"8,235","5,612","2,623","6,519","4,812","1,707"
,California/g,100,100,"47,881","31,610","16,271","27,803","21,637","6,166"
,Colorado,58,58,"6,902","4,479","2,423","4,394","3,160","1,234"
,Hawaii,10,10,"1,724","1,287",437,"1,251","1,051",200
,Idaho,15,15,"1,473",976,497,971,732,239
,Montana,11,11,"1,211",829,382,700,547,153
,Nevada,22,22,"2,313","1,682",631,"1,589","1,334",255
,New Mexico,11,11,"2,632","1,851",781,"1,848","1,467",381
,Oregon,15,15,"3,739","2,621","1,118","2,318","1,954",364
,Utah,7,7,"1,380","1,073",307,"1,073",952,121
,Washington,32,32,"6,064","4,139","1,925","3,599","2,944",655
,Wyoming,7,7,595,355,240,370,252,118
"Note: Includes all full-time, parttime, payroll, nonpayroll, and contract staff. Excludes community volunteers.",,,,,,,,,
"a/To estimate the total number of employees, the total number of facilities nationwide was divided by the number of facilities reporting employees and multiplied by the reported number of employees.",,,,,,,,,
b/Includes facilities operated by both federal and state authorities.,,,,,,,,,
c/Includes private facilities.,,,,,,,,,
d/The total number of facilities in 2005 are as of June 30. ,,,,,,,,,
"e/Includes public staff from the Illinois Department of Corrections, June 30, 2005 and private staff figures as reported in the BJS 2005 Census of State and Federal Correctional Facilities. Numbers of men and women are based on the proportionate weighting of the number of male and female employees in the 2000 Census."
"f/As of December 30, 2001, sentenced felons from the District of Columbia were the reponsibility of the Federal Bureau of Prisons. Some inmates were housed in private facilities under contract to the District of Columbia on December 30, 2005."
"g/Includes employees from the Califiornia Department of Corrections, 4th quarter 2005; and private employees as reported in the BJS 2005 Census of State and Federal Correctional Facilities. Numbers of men and women are based on the proportionate weighting of the number of male and female employees in the 2000 Census. "
