Bureau of Justice Statistics,,,,,,,,,,
Filename: csfcf05at13.csv,,,,,,,,,,
"Appendix table 13. Number of employees in correctional facilities under state or federal authority, by occupational category, December 30, 2005",,,,,,,,,,
"Report title: Census of State and Federal Correctional Facilities, 2005 NCJ-222182",,,,,,,,,,
"Data source: Census of State and Federal Correctional Facilities, 2005",,,,,,,,,,
Author:  James J. Stephan,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,
Date of version:  09/30/08,,,,,,,,,,

"Appendix table 13. Number of employees in correctional facilities under state or federal authority, by occupational category, December 30, 2005",,,,,,,,,,

,,,,Correctional employees,,,,,,
,Alabama,33,33,"3,250",184,"2,489",386,0,179,12
,Arkansas,26,26,"3,559",66,"2,713",677,3,94,6
,Delaware,12,12,"1,639",33,"1,363",120,22,89,12
,District of Columbia/f,5,5,123,14,51,23,.,24,11
,Florida,109,107,"23,038",294,"17,827",692,408,"3,589",228
,Georgia,87,87,"14,301",553,"9,670","1,993",293,"1,331",461
,Kentucky,25,25,"3,946",237,"2,474",424,129,586,96
,Louisiana,23,23,"5,921",142,"4,710",324,59,480,206
,Maryland,29,29,"7,160",85,"5,384",809,133,522,227
,Mississippi,31,31,"3,934",167,"2,932",262,97,339,137
,North Carolina,88,88,"15,106",412,"11,388","1,056",215,"1,742",293
,Oklahoma,53,53,"5,075",273,"2,871",804,154,895,78
,South Carolina,33,33,"5,051",236,"3,698",607,98,412,0
,Tennessee,19,19,"6,279",232,"4,205",674,241,723,204
,Texas,132,132,"38,097",627,"27,737","5,065","1,333","3,250",85
,Virginia,59,57,"10,697",118,"7,599","1,691",374,876,39
,West Virginia,15,15,"1,747",80,925,286,144,254,58
West,,330,245,"85,488","1,418","53,331","4,727",909,"4,937","20,166"
,Alaska,21,21,"1,339",68,896,152,30,174,19
,Arizona,21,21,"8,235",161,"6,519",524,167,859,5
,California/g,100,100,"47,881",47,"27,803",128,40,230,"19,633"
,Colorado,58,58,"6,902",362,"4,394",885,242,776,243
,Hawaii,10,10,"1,724",18,"1,251",245,25,164,21
,Idaho,15,15,"1,473",58,971,146,51,209,38
,Montana,11,11,"1,211",96,700,192,33,183,7
,Nevada,22,22,"2,313",47,"1,589",221,35,398,23
,New Mexico,11,11,"2,632",147,"1,848",269,123,211,34
,Oregon,15,15,"3,739",144,"2,318",630,103,478,66
,Utah,7,7,"1,380",28,"1,073",141,23,83,32
,Washington,32,32,"6,064",201,"3,599","1,094",16,"1,114",40
,Wyoming,7,7,595,41,370,100,21,58,5
"Note: Includes all full-time, parttime, payroll, nonpayroll, and contract employees. Excludes community volunteers.",,,,,,,,,,
"a/To estimate the total number of employees, the total number of facilities nationwide was divided by the number of facilities reporting employees and multiplied by the reported number of employees.",,,,,,,,,,
b/Includes facilities operated by both federal and state authorities.,,,,,,,,,,
c/Includes private facilities.,,,,,,,,,,
d/The total number of facilities in 2005 are as of June 30.,,,,,,,,,,
"e/Includes public staff from the Illinois Department of Corrections, June 30, 2005 and private staff figures as reported in the BJS 2005 Census of State and Federal Correctional Facilities. Numbers of men and women are based on the proportionate weighting of the number of male and female employees in the 2000 Census."
"f/As of December 30, 2001, sentenced felons from the District of Columbia were  the reponsibility of the Federal Bureau of Prisons. Some inmates were housed in private facilities under contract to the District of Columbia on December 30, 2005."
"g/Includes employees from the Califiornia Department of Corrections, 4th quarter 2005; and private employees as reported in the BJS 2005 Census of State and Federal Correctional Facilities. Numbers of men and women are based on the proportionate weighting of the number of male and female employees in the 2000 Census."
