Bureau of Justice Statistics,,,,,,,,,
Filename: csfcf05at15.csv,,,,,,,,,
"Appendix table 15.  Number of inmates, employees, and inmate-to-staff ratios in correctional facilities under state or federal authority, by type of facility, December 30, 2005 ",,,,,,,,,
"Report title:  Census of State and Federal Correctional Facilities, 2005 NCJ 222182",,,,,,,,,
"Data source: Census of State and Federal Correctional Facilities, 2005",,,,,,,,,
Author:  James J. Stephan ,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202)307-0765,,,,,,,,,
Date of version: 09/30/08,,,,,,,,,

"Appendix table 15.  Number of inmates, employees, and inmate-to-staff ratios in correctional facilities under state or federal authority, by type of facility, December 30, 2005",,,,,,,,,

,,Confinement facilities,,,,,Community-based facilities,,
,Tennessee,"19,247","6,197",3.1,"4,165",4.6,237,82,2.9
,Texas,"156,325","36,550",4.3,"26,809",5.8,"7,231","1,547",4.7
,Virginia,"30,544","10,312",3,"7,348",4.2,934,385,2.4
,West Virginia,"3,669","1,670",2.2,877,4.2,262,77,3.4
West,,"285,071","35,571",           :,"24,375",   :,"10,831","3,158",           :
,Alaska,"3,753","1,186",3.2,804,4.7,393,153,2.6
,Arizona,"32,596","8,096",4,"6,458",5,259,139,5.4
,California/f,"168,518",851,           :,494,   :,"1,470",271,           :
,Colorado,"18,236","6,181",3,"4,007",4.6,"2,606",721,3.6
,Hawaii,"3,837","1,677",2.3,"1,227",3.1,114,47,2.4
,Idaho,"5,609","1,359",4.1,921,6.1,366,114,3.2
,Montana,"2,482",966,2.6,575,4.3,678,245,2.8
,Nevada,"11,132","2,220",5,"1,528",7.3,594,93,6.4
,New Mexico,"6,733","2,515",2.7,"1,783",3.8,450,117,3.8
,Oregon,"11,119","3,209",3.5,"1,999",5.6,"1,930",530,3.6
,Utah,"5,057","1,260",4,975,5.2,404,120,3.4
,Washington,"15,045","5,617",2.7,"3,328",4.5,"1,101",447,2.5
,Wyoming,954,434,2.2,276,3.5,466,161,2.9
"Note: Includes all full-time, parttime, payroll, nonpayroll, and contract employees. Excludes community volunteers.",,,,,,,,,
:Not calculated.,,,,,,,,,
a/Includes facilities operated by both federal and state authorities.,,,,,,,,,
b/Includes private facilities.,,,,,,,,,
c/Number of inmates and employees as of June 30.,,,,,,,,,
"d/Includes employees from the Illinois Department of Corrections, June 30, 2005 and private employees reported in the BJS 2005 Census. Excludes employees who supervised 2,892 inmates for who information was not available by facility type.",,,,,,,,,
"e/As of December 30, 2001, sentenced felons from the District of Columbia were the reponsibility of the Federal Bureau of Prisons. Some inmates were housed in private facilities under contract to the District of Columbia on December 30, 2005."
f/Excludes public employees.  Includes private employees reported in the BJS 2005 Census of State and Federal Correctional Facilities.
