Region,Design capacity 2000/a,Design capacity 2005/a,Percent of design capacity occupied 2000,Percent of design capacity occupied 2005,Rated capacity 2000,Rated capacity 2005,Percent of rated capacity occupied 2000,Percent of rated capacity occupied 2005,Total_18,Male_18,Female_18,Total_19,Male_19,Female_19,Total number of facilities,Facilities operating one or more work programs,Inmates participating in one or more work programs,Prison industries,Support services,Farming ,Public works,Other work programs ,No work programs,phone_rate_avg,Latitude,Longitude
Nevada,"9,055","11,082",103,106,"9,683","12,191",96,96,"13,641","12,349","1,292","12,840","11,601","1,239",22,21,"6,126",10,16,2,11,11,0,2.525,39.25,-116.75
New Hampshire,"2,203","2,402",103,99,"2,000","2,177",114,109,"2,722","2,491",231,"2,691","2,463",228,8,8,"1,402",2,5,3,6,5,0,1.185,43.66,-71.49
New Jersey,"20,861","18,131",130,142,"26,979","26,024",101,99,"19,362","18,592",770,"18,613","17,912",701,42,33,"20,823",13,23,8,16,15,3,1.7325,40.16,-74.49
New Mexico,"5,905","6,035",87,119,"6,071","7,357",85,98,"7,030","6,256",774,"6,723","6,046",677,11,9,"3,131",6,8,0,5,1,0,0.7925,34.5,-106
New York,"55,299","57,705",130,111,"69,014","63,458",104,101,"46,636","44,544","2,092","43,500","41,572","1,928",77,72,"30,738",20,69,13,31,7,1,0.72,43,-75.49
North Carolina,"31,810","36,832",97,104,"33,759","40,084",91,95,"34,899","32,171","2,728","34,079","31,398","2,681",88,82,"20,502",21,77,4,56,13,1,2.45,35.5,-80
North Dakota,390,"1,455",254,97,907,"1,455",109,97,"1,695","1,499",196,"1,794","1,585",209,8,6,796,4,5,0,0,1,2,4.845,47.5,-100
Ohio,"30,506","30,506",157,0,"40,707","36,561",118,122,"50,431","46,153","4,278","50,338","46,072","4,266",59,44,"34,510",17,36,9,22,18,10,2.03,40.25,-83
Oklahoma,"22,656","23,399",105,107,"25,062","26,163",95,96,"26,956","23,860","3,096","25,679","23,009","2,670",53,52,"18,201",13,42,14,35,10,1,3,35.5,-97.5
Oregon,"10,193","12,302",97,106,"11,381","13,562",87,96,"15,268","14,022","1,246","14,961","13,740","1,221",15,14,"4,954",7,13,3,10,2,1,2.4,44,-120.5
Pennsylvania,"26,357","38,518",140,112,"26,402","40,098",140,108,"47,239","44,305","2,934","45,702","42,886","2,816",52,26,"26,476",19,26,0,26,0,16,2.2325,40.86,-77.9
Rhode Island,"3,857","4,054",87,84,"3,719","3,861",90,88,"2,767","2,613",154,"2,740","2,583",157,7,7,"1,663",3,7,0,2,2,0,0.7,41.4966,-71.4757
South Carolina,"19,385","23,163",110,97,"23,327","23,310",91,97,"19,033","17,706","1,327","18,608","17,327","1,281",33,29,"17,053",16,29,6,20,6,0,1.2825,34,-81
South Dakota,"2,372","2,605",109,132,"2,633","3,653",98,94,"3,948","3,377",571,"3,801","3,239",562,6,3,831,3,3,0,3,0,1,2.175,44.5,-100.25
Tennessee,"18,724","17,930",98,109,"19,120","20,168",96,97,"26,321","23,642","2,679","26,349","23,615","2,734",19,17,"14,287",8,14,4,12,7,1,3,35.75,-86.25
Texas,"169,773","170,232",96,96,"170,328","171,362",95,95,"163,628","149,193","14,435","158,429","144,787","13,642",132,119,"123,419",34,114,51,89,4,6,3.9,31.25,-99.25
Utah,"4,463","5,382",109,101,"5,283","5,513",92,99,"6,651","6,076",575,"6,665","6,083",582,7,5,595,2,5,1,2,2,1,3.6375,39.25,-111.75
Vermont,"1,234","1,617",106,99,"1,345","1,665",97,96,"1,659","1,519",140,"1,608","1,484",124,9,9,513,3,8,2,1,2,0,2.415,44.1584,-72.7678
Virginia,"14,792","14,792",212,0,"32,759","32,469",96,97,"36,660","33,620","3,040","36,091","33,090","3,001",59,58,"21,089",20,53,29,28,13,0,1.965,37.77,-78.24
Washington,"13,165","14,731",112,110,"9,947","12,293",148,131,"19,523","17,803","1,720","19,261","17,626","1,635",32,29,"6,375",9,15,5,10,23,3,2.46,47.5,-120.5
West Virginia,"3,193","2,976",96,132,"3,098","4,047",99,97,"6,775","5,989",786,"6,800","5,979",821,15,11,"2,074",6,11,4,8,1,1,1.3225,38.63,-80.73
Wisconsin,"11,774","16,324",132,136,"14,417","20,380",108,109,"24,064","22,473","1,591","23,956","22,405","1,551",41,39,"8,980",17,38,8,18,14,1,1.8,44.5,-90
Wyoming,"2,795","1,736",78,82,"2,914","1,772",75,80,"2,543","2,207",336,"2,479","2,142",337,7,7,"1,001",0,5,2,3,4,0,3.2025,43,-107.5
