name,abbreviation,staff_tests,staff_tests_with_multiples,weekly_staff_cases,total_staff_cases,weekly_staff_recovered,staff_recovered,weekly_staff_deaths,total_staff_deaths,weekly_prisoner_tests,prisoner_tests,prisoner_tests_with_multiples,weekly_prisoner_cases,total_prisoner_cases,weekly_prisoners_recovered,prisoners_recovered,total_prisoner_deaths,as_of_date,notes
Georgia,GA,,,,1539,,1377,,2,,,,,3314,,2899,88,1/27/21,
Hawaii,HI,,,,216,,196,,0,,,13989,,1872,,1851,2,1/26/21,
Idaho,ID,5150,,,445,,419,,0,,10143,,,3966,,2580,6,1/26/21,
Illinois,IL,,60577,,3902,,3732,,1,,,187630,,10197,,9533,84,1/26/21,
Indiana,IN,,5376,,1463,,1352,,4,,,14981,,3234,,3310,49,1/26/21,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. This caused in some weeks in January the number of recovered cases to be higher than the total number of people who tested positive. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,678,,653,,2,,,37634,,4427,,4310,14,1/26/21,
Kansas,KS,,,,1121,,,,5,,,,,5761,,,14,1/28/21,
Kentucky,KY,,,,898,,778,,5,,,,,6729,,6112,42,1/26/21,
Louisiana,LA,2361,,,843,,769,,6,,7727,,,2819,,2689,33,1/26/21,
Maine,ME,,,,52,,47,,0,,,6947,,157,,150,1,1/26/21,
Maryland,MD,,42881,,1949,,1747,,4,,51490,,,3842,,3532,20,1/25/21,
Massachusetts,MA,,,,867,,,,,,,24878,,2861,,,19,1/27/21,
Michigan,MI,,119910,,3408,,,,4,,40382,466640,,24120,,19238,132,1/26/21,
Minnesota,MN,,,,982,,803,,0,,,91994,,3864,,3617,11,1/26/21,"Vaccine numbers are as of 1/27/21. Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
Mississippi,MS,,,,,,,,,,,3312,,1389,,1362,22,1/27/21,
Missouri,MO,,12740,,2484,,2388,,5,,,70225,,5335,,5256,42,1/27/21,
Montana,MT,,,,,,,,0,,,,,,,,0,4/1/20,back-filled data based on 4/22 responses
Nebraska,NE,,,,,,,,,,,,,,,,,,
Nevada,NV,,,,1007,,,,4,,,,,4607,,,46,1/26/21,
New Hampshire,NH,,,,163,,160,,0,,,1321,,430,,414,2,1/26/21,They have begun vaccinating but aren't releasing numbers yet.
New Jersey,NJ,,,,2007,,,,,,,,,4283,,,52,1/26/21,
New Mexico,NM,,,,877,,749,,0,,,30681,,2489,,2261,26,1/26/21,
New York,NY,,,,4187,,3657,,7,,,56725,,4808,,3832,30,1/26/21,
North Carolina,NC,,49545,,3248,,2782,,7,,37980,92076,,8703,,7252,42,1/26/21,prisoners > 65 vaccinated
North Dakota,ND,1036,16353,,262,,255,,1,,2880,21959,,617,,613,1,1/26/21,
Ohio,OH,,,,4455,,4171,,9,,,55810,,9240,,7073,132,1/29/21,
Oklahoma,OK,,9929,,932,,,,,,,27407,,6963,,,45,1/26/21,
Oregon,OR,,,,791,,695,,,,,18443,,3305,,2885,40,1/27/21,Oregon has outsourced its staff vaccination to Safeway and is no longer tracking numbers.
Pennsylvania,PA,,9574,,4368,,3702,,6,,,63379,,9520,,8091,97,1/26/21,
Rhode Island,RI,,,,375,,367,,1,,,,,1104,,1065,2,1/27/21,Subtracting 4 presumed positives among prisoners and 13 presumed positives.  The 298 total staff infections are facility staff. There are 90 additional infections (all recovered) among non-facility staff.
South Carolina,SC,,,,916,,771,,2,,,,,2941,,2648,37,1/26/21,
South Dakota,SD,,403,,184,,183,,0,,,6880,,2337,,2329,7,1/26/21,
Tennessee,TN,,9129,,1437,,1263,,4,,,36770,,6469,,6358,39,1/26/21,
Texas,TX,,141791,,10323,,8970,,37,,,359629,,32622,,28476,181,1/26/21,The number of prisoner tests was input incorrectly and has been updated.
Utah,UT,,,,364,,311,,,,,20683,,3122,,2387,15,1/26/21,
Vermont,VT,,,,50,,39,,0,,2651,12722,,244,,242,0,1/26/21,"The state's website originally said 251 recovered, but it was incorrect and we adjusted it here before publication."
Virginia,VA,,,,,,,,3,,,,,8302,,,53,1/26/21,
Washington,WA,,,,1048,,,,2,,,,,5825,,4982,10,1/26/21,Washington is conducting vaccinations of staff and prisoners but have not released numbers yet.
West Virginia,WV,,8369,,429,,410,,1,,,9466,,1545,,1384,4,1/26/21,"They report vaccinations on Fridays. As of right now it's initial doses. That is as of 1/22. They started second doses last week, but I figured we wanted initial doses. So people not doses."
Wisconsin,WI,,,,2415,,2349,,,,,85970,,10745,,10406,25,1/26/21,
Wyoming,WY,,,,,,,,,,,,,,,,,,
Federal,US,,,,6022,,4032,,3,,100601,,,47183,,43624,222,1/26/21,
Alabama,AL,,,,907,,774,,3,,,14552,,1294,,1138,57,1/18/21,
Alaska,AK,,,,256,,,,0,,,19213,,2269,,,5,1/19/21,They are vaccinating but not tracking numbers.
Arizona,AZ,,,,2254,,1775,,,,43396,,,8778,,7138,45,1/19/21,
Arkansas,AR,,,,,,,,,,,,,10877,,10720,52,1/19/21,
California,CA,,,35,62,,,,0,155,421,,17,25,0,0,0,4/8/20,
Colorado,CO,,,,1435,,,,0,,17966,145871,,8006,,,25,1/20/21,
Connecticut,CT,,34512,,1313,,1026,,0,,,44161,,3547,,3225,17,1/19/21,
Delaware,DE,,,6,6,0,0,0,0,,,,2,2,0,0,0,4/8/20,
Florida,FL,,,,4955,,4373,,6,,,,,17734,,17375,205,1/19/21,
Georgia,GA,,,,1473,,1288,,2,,,,,3056,,2690,88,1/19/21,
Hawaii,HI,,,,211,,194,,0,,,13797,,1871,,1798,2,1/19/21,
Idaho,ID,4454,,,424,,404,,0,,9959,,,3909,,2495,6,1/19/21,
Illinois,IL,,47134,,3807,,3576,,1,,,135368,,9973,,8959,80,1/19/21,
Indiana,IN,,5296,,1437,,1313,,4,,,14418,,3123,,3260,49,1/19/21,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. This caused in some weeks in January the number of recovered cases to be higher than the total number of people who tested positive. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,670,,638,,2,,,36539,,4332,,4150,14,1/19/21,
Kansas,KS,,,,1085,,,,5,,,,,5420,,,13,1/21/21,
Kentucky,KY,,,,835,,676,,5,,,,,6596,,4329,39,1/19/21,
Louisiana,LA,2325,,,808,,735,,5,,7529,,,2792,,2621,33,1/19/21,
Maine,ME,,,,52,,46,,0,,,6890,,157,,150,1,1/19/21,
Maryland,MD,,42862,,1885,,1666,,2,,49665,,,3625,,3332,19,1/19/21,
Massachusetts,MA,,,,834,,,,,,,23983,,2664,,,19,1/20/21,
Michigan,MI,,109911,,3294,,1877,,4,,40225,449732,,23748,,17286,127,1/19/21,
Minnesota,MN,,,,973,,792,,,,,90583,,3831,,3449,11,1/19/21,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
Mississippi,MS,,,,,,,,,,,,,,,,,1/19/21,
Missouri,MO,,12700,,2456,,2359,,5,,,69017,,5288,,5217,42,1/20/21,
Montana,MT,,,,2,,,,0,,,,,1,,,0,4/8/20,back-filled data based on 4/22 answers
Nebraska,NE,,,,,,,,,,3646,6464,,932,,871,6,1/22/21,
Nevada,NV,,,,946,,,,4,,,,,3720,,,45,1/19/21,
New Hampshire,NH,,,,160,,149,,,,,1267,,417,,391,2,1/19/21,
New Jersey,NJ,,,,1933,,,,,,,,,3956,,,52,1/19/21,
New Mexico,NM,,,,868,,685,,0,,,30476,,2441,,2206,26,1/19/21,
New York,NY,,,,3952,,,,7,,,56091,,4502,,3379,29,1/20/21,
North Carolina,NC,,49453,,3040,,2487,,7,,37743,89090,,8360,,6966,40,1/20/21,
North Dakota,ND,1031,15587,,257,,242,,1,,2830,21101,,614,,612,1,1/19/21,
Ohio,OH,,,,4350,,4027,,9,,,54462,,9154,,7006,131,1/22/21,
Oklahoma,OK,,9286,,915,,,,,,,27052,,6939,,,44,1/19/21,
Oregon,OR,,,,757,,603,,0,,,18269,,3131,,2615,33,1/19/21,Oregon has outsourced its staff vaccination to Safeway and is no longer tracking numbers.
Pennsylvania,PA,,7587,,3539,,3366,,5,,,63321,,9205,,7362,90,1/19/21,
Rhode Island,RI,,,,371,,357,,1,,,,,1083,,1039,2,1/21/21,
South Carolina,SC,,,,859,,695,,2,,9059,,,2919,,2398,37,1/19/21,
South Dakota,SD,,400,,183,,180,,0,,,6772,,2336,,2328,6,1/19/21,
Tennessee,TN,,9072,,1417,,1230,,4,,,36507,,6439,,6328,38,1/19/21,
Texas,TX,,135515,,10001,,8399,,36,,,349212,,32284,,27333,177,1/19/21,
Utah,UT,,,,,,,,,,,20177,,3101,,2374,15,1/20/21,
Vermont,VT,,,,41,,36,,0,,2632,12056,,244,,241,0,1/19/21,
Virginia,VA,,,,2188,,1874,,3,,,81392,,8107,,7482,52,1/20/21,
Washington,WA,,,,995,,,,2,,9689,11276,,5670,,4303,9,1/19/21,
West Virginia,WV,,8043,,412,,397,,1,,,9188,,1397,,1272,4,1/19/21,
Wisconsin,WI,,,,2377,,2295,,,,,84692,,10642,,10372,25,1/19/21,
Wyoming,WY,,,,235,,229,,,,,18521,,583,,566,1,1/19/21,
Federal,US,,,,5772,,3792,,3,,99247,,,45317,,40895,216,1/19/21,The number of prisoner cases and recoveries this week were transcribed incorractly and have been updated.
Alabama,AL,,,,863,,550,,2,,,14447,,1262,,1026,54,1/12/21,
Alaska,AK,,,,256,,,,0,,,18507,,2222,,,5,1/12/21,They are vaccinating but not tracking numbers. The number of staff cases was off by one and has been updated.
Arizona,AZ,,,,2137,,1693,,,,43136,,,8042,,6591,44,1/12/21,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Arkansas,AR,,,,,,,,4,,,,,10832,,10696,51,1/12/21,
California,CA,,,19,81,,,,0,172,593,,44,69,0,0,0,4/15/20,
Colorado,CO,,,,1368,,,,0,,17865,139888,,7842,,,25,1/12/21,
Connecticut,CT,,32328,,1234,,947,,0,,,,,3508,,3140,16,1/14/21,
Delaware,DE,,,12,18,0,0,0,0,,,,11,13,0,0,0,4/15/20,
Florida,FL,,,,4953,,4237,,5,,,,,17614,,17332,204,1/13/21,
Georgia,GA,,,,1411,,1224,,2,,,,,2893,,2639,87,1/12/21,
Hawaii,HI,,,,208,,189,,0,,,13672,,1870,,1751,2,1/12/21,
Idaho,ID,4315,,,410,,394,,0,,9930,,,3836,,2495,6,1/12/21,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Illinois,IL,,39154,,3703,,3451,,,,,112223,,9561,,7757,,1/12/21,
Indiana,IN,,5219,,1406,,1264,,4,,,13638,,3092,,3179,48,1/12/21,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. This caused in some weeks in January the number of recovered cases to be higher than the total number of people who tested positive. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,651,,615,,2,,,35231,,4240,,4070,14,1/12/21,
Kansas,KS,,,,1031,,,,5,,,,,5361,,,13,1/11/21,
Kentucky,KY,,,,712,,531,,5,,,,,5296,,4071,39,1/12/21,
Louisiana,LA,2295,,,789,,721,,5,,7481,,,2765,,2595,31,1/12/21,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Maine,ME,,,,50,,46,,0,,,6740,,157,,150,1,1/12/21,
Maryland,MD,,42199,,1823,,1575,,2,,48360,,,3422,,3151,19,1/11/21,
Massachusetts,MA,,,,807,,,,,,,23890,,2599,,,17,1/13/21,"Massachusetts later revised its number of tests for this week that seemed to have been overstated by 1,000. The figures has been updated here."
Michigan,MI,,109911,,3192,,,,4,,40151,433511,,23335,,14816,123,1/12/21,
Minnesota,MN,,,,968,,784,,,,,89306,,3804,,3438,11,1/12/21,"The number of prisoner cases was transcribed incorrectly this week. It has been corrected. Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
Mississippi,MS,,573,,221,,161,,,,,,,,,,,1/13/21,The number of prisoner tests and cases was later revised down. We have asked Mississippi for updated figures if possible for this week.
Missouri,MO,,12644,,2453,,2267,,5,,,66527,,5235,,5120,42,1/12/21,
Montana,MT,,,,2,,,,0,,,,,2,,,0,4/15/20,Backfilled deaths based on 4/22 answers
Nebraska,NE,,,,,,,,,,3596,6282,,890,,863,6,1/15/21,
Nevada,NV,,,,819,,,,3,,,,,2612,,,39,1/12/21,
New Hampshire,NH,,,,154,,142,,,,,,,407,,363,2,1/12/21,
New Jersey,NJ,,,,1674,,,,,,,,,3620,,,52,1/12/21,
New Mexico,NM,,194,,848,,654,,0,,,29228,,2367,,2124,25,1/12/21,
New York,NY,,,,3618,,2813,,6,,,52541,,3804,,2944,28,1/12/21,
North Carolina,NC,,41652,,2900,,2213,,7,,37620,86460,,8132,,6704,39,1/12/21,
North Dakota,ND,1017,15160,,250,,239,,0,,2810,20456,,614,,612,1,1/12/21,
Ohio,OH,,,,4220,,3812,,8,,,53333,,9046,,6954,129,1/15/21,
Oklahoma,OK,,8721,,886,,,,,,,26868,,6885,,,43,1/12/21,
Oregon,OR,,,,733,,553,,0,,,17620,,2908,,2178,27,1/12/21,
Pennsylvania,PA,,6989,,3298,,3153,,5,,,61682,,8129,,6289,82,1/12/21,
Rhode Island,RI,,,,364,,350,,1,,,,,1060,,987,2,1/14/21,Subtracting 4 presumed positives among prisoners and 13 presumed positives.
South Carolina,SC,,,,823,,681,,2,,8889,,,2803,,2347,35,1/13/21,
South Dakota,SD,,397,,181,,179,,0,,,6692,,2336,,2323,6,1/12/21,
Tennessee,TN,,,,1383,,1102,,3,,,35956,,6392,,6271,35,1/12/21,
Texas,TX,,129299,,9639,,7965,,34,,,333122,,31322,,26540,177,1/12/21,
Utah,UT,,,,325,,251,,,,,19110,,3057,,2111,15,1/11/21,
Vermont,VT,,,,38,,,,,,2608,11738,,243,,241,,1/12/21,
Virginia,VA,,,,2049,,1689,,2,,,79327,,7784,,,50,1/12/21,
Washington,WA,,,,946,,,,2,,9445,10978,,5372,,3866,8,1/12/21,They have begun vaccinations but are not yet releasing data
West Virginia,WV,,7686,,400,,375,,1,,,9001,,1302,,1205,4,1/12/21,
Wisconsin,WI,,,,2339,,2238,,,,,82279,,10544,,10218,25,1/12/21,
Wyoming,WY,,,,,,,,,,,,,,,,,,
Federal,US,,,,5605,,3553,,3,,98614,,,44757,,39695,204,1/15/21,The vaccine numbers indicate the number of people who have received at least one dose. The number of prisoner deaths this week was originally logged as one more than it should have been. It's been updated. The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,,,,,,,,,,,,,,1/5/21,
Alaska,AK,,,,232,,,,0,,,17155,,2153,,,5,1/5/21,
Arizona,AZ,,,,1930,,1539,,,,43016,,,7608,,5781,39,1/5/21,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Arkansas,AR,,,,,,,,4,,,,,10741,,10455,51,1/5/21,
California,CA,,,16,97,,,,0,83,676,,66,135,0,0,1,4/22/20,
Colorado,CO,,,,1316,,,,0,,17800,133447,,7512,,,25,1/5/21,
Connecticut,CT,,30106,,1127,,871,,0,,,38489,,3289,,2756,14,1/5/21,
Delaware,DE,,,8,26,0,0,0,0,,136,,28,41,0,0,1,4/22/20,
Florida,FL,,,,4603,,4011,,,,,,,17560,,17307,196,1/6/21,
Georgia,GA,,,,1335,,1167,,2,,,,,2785,,2530,85,1/5/21,
Hawaii,HI,,,,204,,175,,,,,13229,,1816,,1557,1,1/5/21,
Idaho,ID,4296,,,401,,381,,0,,9872,,,3775,,2359,6,1/5/21,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Illinois,IL,,30782,,3532,,3283,,1,,,74923,,8828,,6930,70,1/5/21,
Indiana,IN,,5079,,1356,,1180,,4,,,13589,,3038,,3115,46,1/5/21,"Prior to Feb. 1, 2021, Indiana counted some people more than once in their prisoners recovered numbers, if someone who had been considered recovered once tested positive a second time (though the positives were counted only once) and then recovered again. This caused in some weeks in January the number of recovered cases to be higher than the total number of people who tested positive. After Feb. 1, they say they are only reporting unique people recovered, so be careful when comparing this figure to more recent weeks."
Iowa,IA,,,,628,,599,,2,,,33660,,4091,,3947,13,1/5/21,
Kansas,KS,,,,1014,,,,4,,,,,5301,,,13,1/7/21,
Kentucky,KY,,,,624,,536,,5,,,,,4396,,3756,37,1/5/21,
Louisiana,LA,2254,,,752,,683,,5,,7399,,,2695,,2573,31,1/5/21,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Maine,ME,,,,46,,41,,0,,,6686,,156,,145,1,1/5/21,
Maryland,MD,,41833,,1732,,1428,,2,,48197,,,3259,,2899,18,1/4/21,
Massachusetts,MA,,,,764,,,,,,,23289,,2325,,,15,1/6/21,"Massachusetts later revised its number of tests for this week that seemed to have been overstated by 1,000. The figures has been updated here."
Michigan,MI,,98158,,3067,,,,4,,40089,418846,,22629,,10815,121,1/5/21,"Recovered prisoners dropped this week. Michigan spokesman wrote ""Any prisoner who tests positive after 90 days from a previous positive is considered a new infection, and so when that happens, they are moved from the recovered column."""
Minnesota,MN,,,,945,,768,,,,,87156,,3749,,3327,9,1/5/21,"They had begun vaccinating this week but didn't have numbers available. Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
Mississippi,MS,,573,,220,,,,,,,,,,,,,1/6/21,The number of prisoner tests and cases was later revised down. We have asked Mississippi for updated figures if possible for this week.
Missouri,MO,,12498,,2303,,2207,,5,,,65007,,5204,,5058,41,1/5/21,
Montana,MT,,,,2,,,,0,,5,,,2,,,0,4/22/20,
Nebraska,NE,,,,,,,,,,3521,6059,,876,,810,6,1/4/21,
Nevada,NV,,,,813,,,,2,,,,,2612,,,10,1/5/21,
New Hampshire,NH,,,,145,,,,,,,1122,,373,,,1,1/5/21,
New Jersey,NJ,,,,1674,,,,,,,,,3620,,,52,1/5/21,
New Mexico,NM,,,,829,,650,,0,,,26959,,2294,,2060,24,1/5/21,
New York,NY,,,,3242,,2370,,6,,,49215,,3337,,2524,24,1/5/21,
North Carolina,NC,,38135,,2730,,2050,,7,,37447,81779,,7670,,6527,36,1/5/21,
North Dakota,ND,1001,14613,,243,,237,,0,,2727,19104,,613,,612,1,1/5/21,
Ohio,OH,,,,3912,,3389,,8,,,51404,,8868,,6802,127,1/5/21,
Oklahoma,OK,,8021,,844,,,,,,,26403,,6855,,,43,1/5/21,
Oregon,OR,,,,671,,491,,,,,16669,,2588,,1899,24,1/5/21,
Pennsylvania,PA,,6515,,3078,,2785,,3,,,60349,,7432,,5351,70,1/5/21,
Rhode Island,RI,,,,316,,295,,1,,,,,987,,934,2,1/4/21,Subtracting 4 presumed positives among prisoners and 13 presumed positives.
South Carolina,SC,,,,756,,603,,2,,8788,23406,,2728,,,34,1/5/21,Staff testing began 1/7
South Dakota,SD,,395,,180,,177,,0,,,6561,,2333,,2323,6,1/5/21,
Tennessee,TN,,,,1306,,1026,,3,,,35630,,6353,,6233,34,1/5/21,A number from another state inadvertently wound up in Tennesse as the number of prisoner tests for this week. It has been removed.
Texas,TX,,123234,,9009,,7477,,34,,,314230,,30115,,25850,177,1/5/21,
Utah,UT,,,,312,,238,,,,,18310,,3017,,1777,15,1/6/21,
Vermont,VT,,,,32,,,,0,,2566,11335,,243,,241,0,1/5/21,
Virginia,VA,,,,1901,,1551,,2,,,76801,,7495,,,47,1/5/21,
Washington,WA,,,,873,,,,2,,9058,10540,,4934,,3367,7,1/5/21,
West Virginia,WV,,7379,,373,,340,,1,,,8954,,1224,,1145,4,1/5/21,
Wisconsin,WI,,,,2260,,2186,,,,,79958,,10476,,10026,23,1/5/21,
Wyoming,WY,,,,,,,,,,,,,,,,,,
Federal,US,,,,4835,,2997,,3,,96647,,,42066,,35596,196,1/5/21,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
Alabama,AL,,,,804,,529,,2,,,12671,,1161,,1003,54,12/28/20,
Alaska,AK,,,,216,,,,0,,,15996,,1966,,,5,12/28/20,
Arizona,AZ,,,,1769,,1441,,,,42749,,,6415,,4723,34,12/29/20,
Arkansas,AR,,,,,,,,3,,,,,10579,,9969,50,12/29/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
California,CA,,,40,137,,,,0,544,1220,,70,205,0,0,1,4/29/20,
Colorado,CO,,,,1239,,,,,,17766,127291,,7125,,,24,12/29/20,
Connecticut,CT,,29271,,998,,789,,0,,,,,2955,,2406,13,12/29/20,
Delaware,DE,,,12,38,0,0,0,0,,200,,26,67,0,0,3,4/28/20,
Florida,FL,,,,4389,,3767,,,,,,,17537,,17030,191,12/30/20,
Georgia,GA,,,,1270,,1114,,2,,,,,2649,,2393,85,12/29/20,
Hawaii,HI,,,,197,,158,,0,,,12866,,1710,,1489,1,12/29/20,"Health care providers in Hawaii, including those working in prisons, now have access to vaccines, but they do not have a number of how many have received them yet."
Idaho,ID,4267,,,394,,376,,0,,9760,,,3605,,2309,6,12/29/20,The number of tested people was mistakenly placed in the column for the total number of tests. This has been updated.
