Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p19t11.csv,,,,,,,,,,,,
"Table 11. Non-U.S. citizen prisoners in the custody of publicly or privately operated state or federal prisons, not including jails, by jurisdiction and sex, December 31, 2019",,,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2019",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 11. Non-U.S. citizen prisoners in the custody of publicly or privately operated state or federal prisons, not including jails, by jurisdiction and sex, December 31, 2019",,,,,,,,,,,,
,,"Non-U.S. citizen prisoners/a,b",,,,,,Non-U.S. citizen prisoners sentenced to more than 1 year/a,,,,
"a/Unless otherwise noted, citizenship status is based on self-reports by prisoners at the time of admission. Some jurisdictions rely on law enforcement documents, court documents, or external validation to supplement the self-reporting data.",,,,,,,,,,,,
b/Includes unsentenced prisoners and those of all sentence lengths.,,,,,,,,,,,,
"c/U.S. and state totals for non-U.S. citizens by sex exclude Alabama, California, Maine, New Hampshire, and Oregon, which did not report citizenship counts by sex.",,,,,,,,,,,,
"d/Prison population count is the sum of persons held in the custody of state and federally operated prisons and each jurisdiction’s private prison facilities. In 2019, the total custody population in publicly and privately operated state and federal correctional facilities was 1,339,961 (1,157,793 state and 174,391 federal), and the sentenced custody population in those same facilities was 1,292,978 (1,132,388 state and 160,590 federal). These counts exclude custody populations for Alaska and Rhode Island, which did not provide counts of non-U.S. citizens and whose numbers could not be imputed.",,,,,,,,,,,,
"e/Total U.S. and state counts of non-U.S. citizen prisoners for 2019 include estimated counts for three states (California, New Hampshire, and Oregon) that did not report statistics on non-U.S. citizens. The 92.7% of prisoners who are not counted as non-U.S. citizens may not be U.S. citizens, as some may have an unknown citizenship status.",,,,,,,,,,,,
f/Citizenship data were based on law enforcement documents or court documents that accompanied prisoners upon admission.,,,,,,,,,,,,
"g/Citizenship data were subject to verification by an external data source (e.g., comparison to official records from U.S.  Immigration and Customs Enforcement (ICE) or other relevant government agencies).",,,,,,,,,,,,
h/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,
"i/California did not submit accurate, verifiable figures on citizenship status. Citizenship data for the state are included in U.S. and state totals. They were estimated based on published counts from a December 2018 state report (https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2020/01/201812_DataPoints.pdf) and represented the country of birth as reported by prisoners.",,,,,,,,,,,,
j/Counts of non-U.S. citizens are based on a jurisdictional count.,,,,,,,,,,,,
k/Counts exclude persons with unknown country of citizenship.,,,,,,,,,,,,
l/State provided population data but could not provide citizenship counts in 2019. Counts of non-U.S. citizens were imputed based on data for previous years and were included in the U.S. and state totals. See Methodology.,,,,,,,,,,,,
m/Counts include some persons with unknown country of citizenship or place of birth.,,,,,,,,,,,,
n/Estimate based on the number of offenders with ICE detainers.,,,,,,,,,,,,
o/State does not rely on self-report citizenship data from prisoners.,,,,,,,,,,,,
p/State did not provide 2019 NPS citizenship data. Counts of non-U.S. citizens were imputed based on data for previous years and were included in the U.S. and state totals. See Methodology.,,,,,,,,,,,,
q/Counts of non-U.S. citizens for 2019 are not comparable to previous years’ counts.,,,,,,,,,,,,
r/State could not break down counts of non-U.S. citizens by sentence length.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2019.",,,,,,,,,,,,
